INT=21.07ºC PT1=19.09ºC PT2=838.71ºC
distance,temperature
"-149.454","0.000"
"-149.200","0.000"
"-148.945","0.000"
"-148.691","0.000"
"-148.437","0.000"
"-148.183","0.000"
"-147.929","0.000"
"-147.674","0.000"
"-147.420","0.000"
"-147.166","0.000"
"-146.912","0.000"
"-146.658","0.000"
"-146.403","0.000"
"-146.149","0.000"
"-145.895","0.000"
"-145.641","0.000"
"-145.387","0.000"
"-145.132","0.000"
"-144.878","0.000"
"-144.624","0.000"
"-144.370","0.000"
"-144.116","0.000"
"-143.861","0.000"
"-143.607","0.000"
"-143.353","0.000"
"-143.099","0.000"
"-142.845","0.000"
"-142.590","0.000"
"-142.336","0.000"
"-142.082","0.000"
"-141.828","0.000"
"-141.574","0.000"
"-141.319","0.000"
"-141.065","0.000"
"-140.811","0.000"
"-140.557","0.000"
"-140.303","0.000"
"-140.048","0.000"
"-139.794","0.000"
"-139.540","0.000"
"-139.286","0.000"
"-139.032","0.000"
"-138.777","0.000"
"-138.523","0.000"
"-138.269","0.000"
"-138.015","0.000"
"-137.761","0.000"
"-137.506","0.000"
"-137.252","0.000"
"-136.998","0.000"
"-136.744","0.000"
"-136.490","0.000"
"-136.235","0.000"
"-135.981","0.000"
"-135.727","0.000"
"-135.473","0.000"
"-135.219","0.000"
"-134.964","0.000"
"-134.710","0.000"
"-134.456","0.000"
"-134.202","0.000"
"-133.948","0.000"
"-133.693","0.000"
"-133.439","0.000"
"-133.185","0.000"
"-132.931","0.000"
"-132.677","0.000"
"-132.422","0.000"
"-132.168","0.000"
"-131.914","0.000"
"-131.660","0.000"
"-131.406","0.000"
"-131.151","0.000"
"-130.897","0.000"
"-130.643","0.000"
"-130.389","0.000"
"-130.135","0.000"
"-129.880","0.000"
"-129.626","0.000"
"-129.372","0.000"
"-129.118","0.000"
"-128.864","0.000"
"-128.609","0.000"
"-128.355","0.000"
"-128.101","0.000"
"-127.847","0.000"
"-127.593","0.000"
"-127.338","0.000"
"-127.084","0.000"
"-126.830","0.000"
"-126.576","0.000"
"-126.322","0.000"
"-126.067","0.000"
"-125.813","0.000"
"-125.559","0.000"
"-125.305","0.000"
"-125.051","0.000"
"-124.796","0.000"
"-124.542","0.000"
"-124.288","0.000"
"-124.034","0.000"
"-123.780","0.000"
"-123.525","0.000"
"-123.271","0.000"
"-123.017","0.000"
"-122.763","0.000"
"-122.509","0.000"
"-122.254","0.000"
"-122.000","0.000"
"-121.746","0.000"
"-121.492","0.000"
"-121.238","0.000"
"-120.983","0.000"
"-120.729","0.000"
"-120.475","0.000"
"-120.221","0.000"
"-119.967","0.000"
"-119.712","0.000"
"-119.458","0.000"
"-119.204","0.000"
"-118.950","0.000"
"-118.696","0.000"
"-118.441","0.000"
"-118.187","0.000"
"-117.933","0.000"
"-117.679","0.000"
"-117.425","0.000"
"-117.170","0.000"
"-116.916","0.000"
"-116.662","0.000"
"-116.408","0.000"
"-116.154","0.000"
"-115.899","0.000"
"-115.645","0.000"
"-115.391","0.000"
"-115.137","0.000"
"-114.883","0.000"
"-114.628","0.000"
"-114.374","0.000"
"-114.120","0.000"
"-113.866","0.000"
"-113.612","0.000"
"-113.357","0.000"
"-113.103","0.000"
"-112.849","0.000"
"-112.595","0.000"
"-112.341","0.000"
"-112.086","0.000"
"-111.832","0.000"
"-111.578","0.000"
"-111.324","0.000"
"-111.070","0.000"
"-110.815","0.000"
"-110.561","0.000"
"-110.307","0.000"
"-110.053","0.000"
"-109.799","0.000"
"-109.544","0.000"
"-109.290","0.000"
"-109.036","0.000"
"-108.782","0.000"
"-108.528","0.000"
"-108.273","0.000"
"-108.019","0.000"
"-107.765","0.000"
"-107.511","0.000"
"-107.257","0.000"
"-107.003","0.000"
"-106.748","0.000"
"-106.494","0.000"
"-106.240","0.000"
"-105.986","0.000"
"-105.732","0.000"
"-105.477","0.000"
"-105.223","0.000"
"-104.969","0.000"
"-104.715","0.000"
"-104.461","0.000"
"-104.206","0.000"
"-103.952","0.000"
"-103.698","0.000"
"-103.444","0.000"
"-103.190","0.000"
"-102.935","0.000"
"-102.681","0.000"
"-102.427","0.000"
"-102.173","0.000"
"-101.919","0.000"
"-101.664","0.000"
"-101.410","0.000"
"-101.156","0.000"
"-100.902","0.000"
"-100.648","0.000"
"-100.393","0.000"
"-100.139","0.000"
"-99.885","0.000"
"-99.631","0.000"
"-99.377","0.000"
"-99.122","0.000"
"-98.868","0.000"
"-98.614","0.000"
"-98.360","0.000"
"-98.106","0.000"
"-97.851","0.000"
"-97.597","0.000"
"-97.343","0.000"
"-97.089","0.000"
"-96.835","0.000"
"-96.580","0.000"
"-96.326","0.000"
"-96.072","0.000"
"-95.818","0.000"
"-95.564","0.000"
"-95.309","0.000"
"-95.055","0.000"
"-94.801","0.000"
"-94.547","0.000"
"-94.293","0.000"
"-94.038","0.000"
"-93.784","0.000"
"-93.530","0.000"
"-93.276","0.000"
"-93.022","0.000"
"-92.767","0.000"
"-92.513","0.000"
"-92.259","0.000"
"-92.005","0.000"
"-91.751","0.000"
"-91.496","0.000"
"-91.242","0.000"
"-90.988","0.000"
"-90.734","0.000"
"-90.480","0.000"
"-90.225","0.000"
"-89.971","0.000"
"-89.717","0.000"
"-89.463","0.000"
"-89.209","0.000"
"-88.954","0.000"
"-88.700","0.000"
"-88.446","0.000"
"-88.192","0.000"
"-87.938","0.000"
"-87.683","0.000"
"-87.429","0.000"
"-87.175","0.000"
"-86.921","0.000"
"-86.667","0.000"
"-86.412","0.000"
"-86.158","0.000"
"-85.904","0.000"
"-85.650","0.000"
"-85.396","0.000"
"-85.141","0.000"
"-84.887","0.000"
"-84.633","0.000"
"-84.379","0.000"
"-84.125","0.000"
"-83.870","0.000"
"-83.616","0.000"
"-83.362","0.000"
"-83.108","0.000"
"-82.854","0.000"
"-82.599","0.000"
"-82.345","0.000"
"-82.091","0.000"
"-81.837","0.000"
"-81.583","0.000"
"-81.328","0.000"
"-81.074","0.000"
"-80.820","0.000"
