,12/5/2020 12:30:17 PM,12/5/2020 12:33:17 PM,12/5/2020 12:36:17 PM,12/5/2020 12:39:17 PM,12/5/2020 12:42:18 PM,12/5/2020 12:45:18 PM,12/5/2020 12:48:18 PM,12/5/2020 12:51:18 PM,12/5/2020 12:54:18 PM,12/5/2020 12:57:19 PM,12/5/2020 1:00:19 PM,12/5/2020 1:03:19 PM,12/5/2020 1:06:19 PM,12/5/2020 1:09:19 PM,12/5/2020 1:12:20 PM,12/5/2020 1:15:20 PM,12/5/2020 1:18:20 PM,12/5/2020 1:21:20 PM,12/5/2020 1:24:20 PM,12/5/2020 1:27:20 PM,12/5/2020 1:30:21 PM,12/5/2020 1:33:21 PM,12/5/2020 1:36:21 PM,12/5/2020 1:39:21 PM,12/5/2020 1:42:22 PM
Distance,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature,Temperature
"45.517","19.074","19.051","19.077","19.115","19.025","18.961","18.921","19.027","18.969","19.020","18.951","18.853","18.991","19.034","18.907","18.894","18.947","19.008","19.005","19.129","18.982","18.789","18.969","19.088","19.084"
"45.771","19.027","19.040","19.087","19.063","19.003","18.983","18.919","19.037","18.936","19.079","18.961","18.862","18.993","19.066","18.935","18.919","18.967","19.048","19.011","19.135","19.023","18.798","18.982","19.112","19.154"
"46.025","19.015","19.052","19.084","19.026","18.945","18.958","18.891","19.045","18.921","19.051","18.930","18.857","18.986","19.010","18.919","18.886","18.953","19.015","18.970","19.091","18.982","18.752","18.991","19.020","19.134"
"46.280","19.078","19.106","19.138","19.102","19.013","19.005","18.968","19.118","19.012","19.088","18.984","18.908","19.014","19.023","18.957","18.882","18.994","19.026","19.028","19.117","18.962","18.786","19.066","19.060","19.205"
"46.534","19.075","19.103","19.159","19.175","19.109","19.041","19.049","19.159","19.105","19.158","19.058","18.995","19.084","19.110","19.016","18.935","19.038","19.112","19.126","19.202","19.031","18.872","19.141","19.195","19.384"
"46.788","19.023","19.059","19.102","19.145","19.104","19.029","19.005","19.097","19.089","19.091","19.034","18.987","19.075","19.095","18.986","18.926","19.017","19.085","19.111","19.196","19.056","18.863","19.109","19.192","19.387"
"47.042","19.092","19.099","19.124","19.127","19.108","19.064","18.990","19.120","19.115","19.077","19.053","19.002","19.100","19.115","19.017","18.958","19.048","19.106","19.111","19.216","19.102","18.908","19.136","19.205","19.321"
"47.296","19.175","19.169","19.193","19.155","19.173","19.128","19.043","19.228","19.192","19.184","19.129","19.119","19.211","19.250","19.133","19.065","19.133","19.231","19.202","19.308","19.212","19.013","19.251","19.305","19.334"
"47.551","19.218","19.203","19.219","19.194","19.186","19.144","19.068","19.222","19.196","19.219","19.169","19.127","19.222","19.309","19.166","19.057","19.109","19.270","19.197","19.305","19.225","18.990","19.253","19.295","19.319"
"47.805","19.234","19.237","19.227","19.225","19.157","19.147","19.059","19.152","19.174","19.183","19.145","19.052","19.121","19.253","19.129","18.980","19.013","19.227","19.127","19.223","19.145","18.867","19.181","19.202","19.281"
